Node  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
10394;562,006  ;-13,824  ;-11,069  ;-3,09671e+01
5757;561,935  ;0,111073  ;-15,3647  ;-3,09538e+01
9389;561,918  ;8,89894  ;-16,1201  ;-3,09533e+01
7010;561,918  ;13,9932  ;-11,0258  ;-3,09586e+01
4740;561,794  ;-3,95601  ;-0,20992  ;-3,09452e+01
9247;561,766  ;-8,64612  ;16,4242  ;-3,09381e+01
9246;561,766  ;-13,7404  ;11,3299  ;-3,09434e+01
9388;561,765  ;4,7172  ;-20;-3,09342e+01
13444;561,765  ;-5,09427  ;20;-3,09342e+01
14895;561,765  ;4,7172  ;20;-3,09342e+01
5754;561,765  ;-5,09427  ;-20;-3,09343e+01
9244;561,765  ;-14,9057  ;20;-3,09383e+01
10591;561,765  ;14,9057  ;20;-3,09383e+01
8436;561,765  ;-14,9057  ;-20;-3,09384e+01
11734;561,765  ;14,9057  ;-20;-3,09384e+01
8438;561,765  ;-20;-14,9057  ;-3,09457e+01
9242;561,765  ;-20;14,9057  ;-3,09457e+01
11735;561,765  ;20;-14,9057  ;-3,09457e+01
14244;561,765  ;20;14,9057  ;-3,09457e+01
7007;561,765  ;20;-5,09427  ;-3,09498e+01
11020;561,765  ;-20;-5,09427  ;-3,09498e+01
8262;561,765  ;20;4,7172  ;-3,09499e+01
12252;561,765  ;-20;4,7172  ;-3,09499e+01
10393;561,756  ;-16,7068  ;-7,84479  ;-3,09457e+01
4745;561,653  ;-8,20793  ;-6,24474  ;-3,09317e+01
1986;561,437  ;10,2953  ;-0,0669338  ;-3,09122e+01
4752;561,413  ;-8,12436  ;6,34268  ;-3,09082e+01
12253;561,412  ;-14,384  ;-0,270038  ;-3,09118e+01
4741;561,403  ;-11,0908  ;-3,02056  ;-3,09090e+01
4746;561,35  ;0,63485  ;3,21457  ;-3,09013e+01
10328;561,328  ;8,72209  ;16,2054  ;-3,08955e+01
8263;561,328  ;13,8164  ;11,1112  ;-3,09008e+01
4751;560,969  ;-3,5335  ;9,76717  ;-3,08625e+01
5554;560,968  ;0,0183498  ;13,343  ;-3,08604e+01
5568;560,531  ;4,02324  ;9,54841  ;-3,08200e+01
5565;560,301  ;5,44724  ;-5,39816  ;-3,07991e+01
6936;560,13  ;15,1476  ;4,87227  ;-3,07867e+01
7009;560,13  ;15,1476  ;-4,9392  ;-3,07867e+01
5562;559,601  ;5,02223  ;-0,793657  ;-3,07313e+01
5566;559,333  ;5,35451  ;3,30952  ;-3,07051e+01
6597;559,259  ;-7,41094  ;13,0233  ;-3,06950e+01
5553;559,258  ;-3,85909  ;16,5991  ;-3,06919e+01
2090;559,165  ;0,599214  ;-10,7294  ;-3,06858e+01
14287;559,065  ;-7,1788  ;-12,8525  ;-3,06762e+01
9917;559,065  ;-10,5175  ;-9,53016  ;-3,06790e+01
9386;559,031  ;8,49537  ;-12,0077  ;-3,06737e+01
5755;558,994  ;-4,60613  ;-15,3647  ;-3,06671e+01
9387;558,994  ;5,20534  ;-15,3647  ;-3,06673e+01
5552;558,824  ;0;20;-3,06466e+01
